Location,We are located at Ion Orchard on the first floor at unit 35 and next to Starbucks
Venue,We are located at Ion Orchard on the first floor at unit 35 and next to Starbucks
Where is your location?,We are located at Ion Orchard on the first floor at unit 35 and next to Starbucks
What is your venue?,We are located at Ion Orchard on the first floor at unit 35 and next to Starbucks
Are you at Orchard?,We are located at Ion Orchard on the first floor at unit 35 and next to Starbucks
Where are you?,We are located at Ion Orchard on the first floor at unit 35 and next to Starbucks
What is your location?,We are located at Ion Orchard on the first floor at unit 35 and next to Starbucks
Where are you located?,We are located at Ion Orchard on the first floor at unit 35 and next to Starbucks
How can I find you?,We are located at Ion Orchard on the first floor at unit 35 and next to Starbucks
Where is Jackie Hair Salon?,We are located at Ion Orchard on the first floor at unit 35 and next to Starbucks
Where can I find you?,We are located at Ion Orchard on the first floor at unit 35 and next to Starbucks
Opening Hours,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
Business Hours,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
Operating Hours,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
What are your business hours?,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
When are you open?,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
What time do you open?,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
What time do you close?,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
Do you open in the weekends?,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
Do you open at night?,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
When do you open?,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
When do you close?,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
What are your opening hours?,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
What are your operating hours?,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
Are you open on weekends?,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
Are you open on public holidays?,We are open from 11 in the morning to 9 at night everday seven days a week and including public holidays
Stylists,We have three hair stylists who are Jackie and Samantha and Brian
How many stylists do you have?,We have three hair stylists who are Jackie and Samantha and Brian
Who are your stylists?,We have three hair stylists who are Jackie and Samantha and Brian
Who are your hair stylists?,We have three hair stylists who are Jackie and Samantha and Brian
Services,We offer basic and deluxe styling
What services do you offer?,We offer basic and deluxe styling
What kind of services do you have?,We offer basic and deluxe styling
Tell me about your services,We offer basic and deluxe styling
What are your services?,We offer basic and deluxe styling
Prices,Basic styling is 50 dollars and deluxe styling is 80 dollars
What are your prices?,Basic styling is 50 dollars and deluxe styling is 80 dollars
How much are your services?,Basic styling is 50 dollars and deluxe styling is 80 dollars
How much?,Basic styling is 50 dollars and deluxe styling is 80 dollars
How much do you charge?,Basic styling is 50 dollars and deluxe styling is 80 dollars
Tell me about Jackie Hair Salon,Jackie Hair Salon was opened in 2011 and moved to our current location at Orchard in 2015.  Our Salon is a twice recipient of the International Hair Salon Award and our founder Jackie was the recipient of the Lim Kuan Yew Most Outstanding Entrepreneur of the Year Award. The above is fictitious
What is the history of Jackie Hair Salon?,Jackie Hair Salon was opened in 2011 and moved to our current location at Orchard in 2015.  Our Salon is a twice recipient of the International Hair Salon Award and our founder Jackie was the recipient of the Lim Kuan Yew Most Outstanding Entrepreneur of the Year Award. The above is fictitious
Who is Jackie?,Jackie Hair Salon was opened in 2011 and moved to our current location at Orchard in 2015.  Our Salon is a twice recipient of the International Hair Salon Award and our founder Jackie was the recipient of the Lim Kuan Yew Most Outstanding Entrepreneur of the Year Award. The above is fictitious
I want to know more about Jackie Hair Salon,Jackie Hair Salon was opened in 2011 and moved to our current location at Orchard in 2015.  Our Salon is a twice recipient of the International Hair Salon Award and our founder Jackie was the recipient of the Lim Kuan Yew Most Outstanding Entrepreneur of the Year Award. The above is fictitious
What is your history?,Jackie Hair Salon was opened in 2011 and moved to our current location at Orchard in 2015.  Our Salon is a twice recipient of the International Hair Salon Award and our founder Jackie was the recipient of the Lim Kuan Yew Most Outstanding Entrepreneur of the Year Award. The above is fictitious
When was Jackie Hair Salon started?,Jackie Hair Salon was opened in 2011 and moved to our current location at Orchard in 2015.  Our Salon is a twice recipient of the International Hair Salon Award and our founder Jackie was the recipient of the Lim Kuan Yew Most Outstanding Entrepreneur of the Year Award. The above is fictitious
Who is your founder?,Jackie Hair Salon was opened in 2011 and moved to our current location at Orchard in 2015.  Our Salon is a twice recipient of the International Hair Salon Award and our founder Jackie was the recipient of the Lim Kuan Yew Most Outstanding Entrepreneur of the Year Award. The above is fictitious
What is your history?,Jackie Hair Salon was opened in 2011 and moved to our current location at Orchard in 2015.  Our Salon is a twice recipient of the International Hair Salon Award and our founder Jackie was the recipient of the Lim Kuan Yew Most Outstanding Entrepreneur of the Year Award. The above is fictitious
Tell me about your history,Jackie Hair Salon was opened in 2011 and moved to our current location at Orchard in 2015.  Our Salon is a twice recipient of the International Hair Salon Award and our founder Jackie was the recipient of the Lim Kuan Yew Most Outstanding Entrepreneur of the Year Award. The above is fictitious
History,Jackie Hair Salon was opened in 2011 and moved to our current location at Orchard in 2015.  Our Salon is a twice recipient of the International Hair Salon Award and our founder Jackie was the recipient of the Lim Kuan Yew Most Outstanding Entrepreneur of the Year Award. The above is fictitious
Your history,Jackie Hair Salon was opened in 2011 and moved to our current location at Orchard in 2015.  Our Salon is a twice recipient of the International Hair Salon Award and our founder Jackie was the recipient of the Lim Kuan Yew Most Outstanding Entrepreneur of the Year Award. The above is fictitious
History of Jackie Hair Salon,Jackie Hair Salon was opened in 2011 and moved to our current location at Orchard in 2015.  Our Salon is a twice recipient of the International Hair Salon Award and our founder Jackie was the recipient of the Lim Kuan Yew Most Outstanding Entrepreneur of the Year Award. The above is fictitious
I want to know your history,Jackie Hair Salon was opened in 2011 and moved to our current location at Orchard in 2015.  Our Salon is a twice recipient of the International Hair Salon Award and our founder Jackie was the recipient of the Lim Kuan Yew Most Outstanding Entrepreneur of the Year Award. The above is fictitious
Do you sell any products?,We have the Jackie specially concocted and fully organic shampoo available for sale.  It restores damaged hair and keeps hair healthy as well as maintains a bouncy and glossy look.  This special Jackie shampoo is available for sale only at our Hair Salon outlet and each bottle costs 30 dollars.  Customers can order over the phone and collect when they come for their hair appointment
Can I buy the special Jackie shampoo?,We have the Jackie specially concocted and fully organic shampoo available for sale.  It restores damaged hair and keeps hair healthy as well as maintains a bouncy and glossy look.  This special Jackie shampoo is available for sale only at our Hair Salon outlet and each bottle costs 30 dollars.  Customers can order over the phone and collect when they come for their hair appointment
How can I buy the special Jackie shampoo?,We have the Jackie specially concocted and fully organic shampoo available for sale.  It restores damaged hair and keeps hair healthy as well as maintains a bouncy and glossy look.  This special Jackie shampoo is available for sale only at our Hair Salon outlet and each bottle costs 30 dollars.  Customers can order over the phone and collect when they come for their hair appointment
Where can I find the special Jackie shampoo?,We have the Jackie specially concocted and fully organic shampoo available for sale.  It restores damaged hair and keeps hair healthy as well as maintains a bouncy and glossy look.  This special Jackie shampoo is available for sale only at our Hair Salon outlet and each bottle costs 30 dollars.  Customers can order over the phone and collect when they come for their hair appointment
What is the special Jackie shampoo?,We have the Jackie specially concocted and fully organic shampoo available for sale.  It restores damaged hair and keeps hair healthy as well as maintains a bouncy and glossy look.  This special Jackie shampoo is available for sale only at our Hair Salon outlet and each bottle costs 30 dollars.  Customers can order over the phone and collect when they come for their hair appointment
What so special is the Jackie shampoo?,We have the Jackie specially concocted and fully organic shampoo available for sale.  It restores damaged hair and keeps hair healthy as well as maintains a bouncy and glossy look.  This special Jackie shampoo is available for sale only at our Hair Salon outlet and each bottle costs 30 dollars.  Customers can order over the phone and collect when they come for their hair appointment
Do you deliver the shampoo?,We have the Jackie specially concocted and fully organic shampoo available for sale.  It restores damaged hair and keeps hair healthy as well as maintains a bouncy and glossy look.  This special Jackie shampoo is available for sale only at our Hair Salon outlet and each bottle costs 30 dollars.  Customers can order over the phone and collect when they come for their hair appointment
Is the Jackie shampoo sold through other channels?,We have the Jackie specially concocted and fully organic shampoo available for sale.  It restores damaged hair and keeps hair healthy as well as maintains a bouncy and glossy look.  This special Jackie shampoo is available for sale only at our Hair Salon outlet and each bottle costs 30 dollars.  Customers can order over the phone and collect when they come for their hair appointment
Tell me about the Jackie shampoo,We have the Jackie specially concocted and fully organic shampoo available for sale.  It restores damaged hair and keeps hair healthy as well as maintains a bouncy and glossy look.  This special Jackie shampoo is available for sale only at our Hair Salon outlet and each bottle costs 30 dollars.  Customers can order over the phone and collect when they come for their hair appointment
What is Jackie special shampoo?,We have the Jackie specially concocted and fully organic shampoo available for sale.  It restores damaged hair and keeps hair healthy as well as maintains a bouncy and glossy look.  This special Jackie shampoo is available for sale only at our Hair Salon outlet and each bottle costs 30 dollars.  Customers can order over the phone and collect when they come for their hair appointment
What is so special about Jackie shampoo?,We have the Jackie specially concocted and fully organic shampoo available for sale.  It restores damaged hair and keeps hair healthy as well as maintains a bouncy and glossy look.  This special Jackie shampoo is available for sale only at our Hair Salon outlet and each bottle costs 30 dollars.  Customers can order over the phone and collect when they come for their hair appointment
What is special celebrities edition?,The special celebrities edition is a fun way to learn Dialogflow where the customer names are set to celebrities.  It is a type of system entity called music artist in Dialogflow. You can try your favourite Hollywood celebrities and have fun! 
What is Jackie Hair Salon celebrities edition?,The special celebrities edition is a fun way to learn Dialogflow where the customer names are set to celebrities.  It is a type of system entity called music artist in Dialogflow. You can try your favourite Hollywood celebrities and have fun! 
What is celebrities edition?,The special celebrities edition is a fun way to learn Dialogflow where the customer names are set to celebrities.  It is a type of system entity called music artist in Dialogflow. You can try your favourite Hollywood celebrities and have fun! 
Tell me about this celebrities edition,The special celebrities edition is a fun way to learn Dialogflow where the customer names are set to celebrities.  It is a type of system entity called music artist in Dialogflow. You can try your favourite Hollywood celebrities and have fun! 
